experiment_id,experiment_name,metric,lift_abs_simulated,seed_assignment,seed_simulation,data_window,control_rate,treatment_rate,lift_abs,lift_rel,p_value,n_control,n_treatment,run_utc
exp_001,onboarding_d7_retention_lift,d7_retention,0.005,42,123,20201101-20201130,0.0129645341931104,0.0180073250135648,0.0050427908204543,0.3889681453525865,7.124692963996358e-07,29465,29488,2026-03-09T08:15:02+00:00
exp_001,onboarding_d7_retention_lift,d7_retention,0.005,42,123,20201101-20201130,0.01296453419311047,0.01800732501356484,0.005042790820454371,0.3889681453525865,7.124692963996358e-07,29465,29488,2026-03-09T08:18:58+00:00
